帧,流量,密度,平均速度,TPI
827,50,4,1.267417453360053,11.83509029344157
860,45,5,9.3229833557162,1.448034334601997
893,42,4,5.490718005477885,2.8330640073003854
926,36,5,2.956659540436275,6.138058136199973
959,35,8,7.232140947644987,2.05761371199466
992,36,6,5.56445147603172,2.01344261010496
1025,39,4,6.694479874379645,1.2767248102005189
1058,38,4,2.056837105051735,4.701904982084468
1091,35,1,1.334052274814887,9.441337744419204
1124,29,1,0.7986364498894628,26.230052316004812
1157,22,5,6.951209335618787,5.580018801782487
1190,25,6,5.96380947250582,7.243692173460501
1223,32,6,3.095465229580703,16.287266348488714
1256,41,12,7.983526477995526,4.928848624024944
1289,48,13,5.477559498467531,5.860400868931745
1322,56,5,5.051074873840538,4.0332056677738635
1355,56,8,10.75819125443064,1.6944453054930764
1388,61,13,7.968593477755547,2.1001162531771214
1421,64,3,0.8650914576561881,24.082232172049828
1454,60,7,5.407208837637913,5.201389634561652
1487,58,9,1.579467884739119,20.094429303555412
1520,57,9,3.243783569213831,8.333528783870628
1553,52,8,3.103234541897868,9.109601735723766
1586,50,3,0.6682790421359015,39.90349088523971
1619,45,6,3.633155806047388,8.56820662021
1652,39,6,1.411652999304891,24.218440512554174
1685,40,10,6.401731396511679,5.470525263277413
1718,44,8,5.391219920771733,6.495550155358263
1751,46,7,5.272892786662529,6.060529396683842
1784,47,8,3.057250560709606,9.748944009381155
1817,48,5,1.577798414582946,15.888876685854045
1850,52,6,5.470420108853833,4.687213254339614
1883,47,6,2.471868287733554,10.910000844385566
1916,51,9,5.035867732541286,2.193415756853652
1949,58,12,12.11701749104962,0.1707487439685257
35,24,8,15.52589445684499,0.5725202443953232
68,27,3,1.348430449498827,4.486240071408774
101,32,4,12.74638124153035,0.6619525840407846
134,32,3,6.669784431406912,1.265033388525903
167,35,4,3.171104320658821,3.0033100651292606
200,25,4,6.194882191908678,2.6043002648872915
233,24,6,7.900926206485461,2.7466892262675917
266,26,3,1.732183636704904,12.50829658446763
299,22,2,5.084812242759464,4.655873470638654
332,25,5,3.564110404465821,6.32228825041422
365,30,6,10.20891491167526,2.614817017812126
398,32,7,8.262672279628692,5.042759201450392
431,46,9,7.733611071020483,4.331272481119769
464,56,9,6.97526689066939,3.586225637594258
497,64,8,6.934015174111426,2.1707600798929914
530,65,9,11.02169857488378,1.117841568321309
563,65,4,4.415212486713601,2.9734027904004496
596,60,7,2.902396695446939,5.211210453666433
629,52,7,2.754141248157138,7.127960582829984
662,45,4,5.206324423128751,4.869433748543969
695,42,8,4.484373813884644,7.804880113168091
728,42,7,6.681753858147529,5.7488945609481155
761,48,11,7.54507228382163,4.659498103866159
794,51,7,5.718070046335052,5.7866089477734315
827,56,6,5.122152465019349,6.147434199418407
860,60,9,4.021957561228414,6.385088645170095
893,64,11,5.19802050545615,3.246428132072007
926,68,9,2.844764897145069,4.1398713813337515
959,58,6,1.54438978019502,6.288984686841455
992,57,5,8.052619849208522,1.2273075248478174
1025,51,3,6.915218387645671,1.8525022346693043
1058,46,4,6.394643243679236,3.0851229877547204
1091,52,7,4.020416145449512,5.165940543925613
1124,53,9,5.874613453173267,3.664097630300636
1157,49,8,11.0608490284717,2.58465107882408
1190,55,9,6.664405893725728,5.02215763916891
1223,63,7,4.315953570569436,9.271005088210035
1256,63,8,3.154416951738026,14.596983927442949
1289,63,8,2.468790503107826,17.407791557076266
1322,58,10,4.762776169095488,9.125485249586067
1355,54,9,3.99756782357606,9.650929919449858
1388,57,10,5.423391326061905,6.472396526616762
1421,53,9,6.65830948946267,4.781937921614832
1454,57,10,6.209309257212331,5.424791894072661
1487,56,6,3.878974432154962,8.4744110548988
1520,55,12,4.725841596140466,5.928076712945929
1553,55,12,5.86497058110133,4.342681112803509
1586,56,5,5.322343248892831,4.9320381592187985
1619,59,10,2.35895147093584,11.070943820085844
1652,55,9,5.544495723569883,3.3475733386724698
1685,54,11,10.73540523147696,1.047934359013688
1718,52,5,3.030097125219791,2.5597893189142042
1751,48,5,3.246524660042986,3.080216861764911
1784,46,6,6.395365239286784,2.382273205099368
1817,55,9,4.974603615462439,3.731072361808804
1850,51,6,3.143897910769747,6.735737351932804
1883,48,7,3.084908553314027,4.732942384551187
1916,48,9,8.555257609424935,0.5194986109533632
1949,45,5,5.628539330192249,0.08225277213211726
35,11,5,14.40600139493385,1.1832189986771007
68,18,5,9.643869682242483,1.5553922330182357
101,30,6,8.053596938124773,1.3796457901329067
134,35,7,6.508874542875827,1.6131821147931924
167,43,6,5.218178132009506,1.7975325341429378
200,46,5,5.572111122497845,2.0319881494108376
233,48,4,3.448921376214657,4.233408898543622
266,45,5,1.99117897261626,8.370250437492272
299,43,3,1.760257149307847,11.98952730917144
332,40,4,4.58976569541557,6.214006384208459
365,46,9,7.595943817053164,3.815919120057644
398,43,10,6.184061382491103,5.267981244830704
431,45,5,5.193488011520491,6.903231849640017
464,43,5,3.370675666461078,13.24694726193505
497,49,10,3.7073938289663,12.403968037742864
530,53,10,5.98890297704774,6.563501905319912
563,54,8,3.688238123535358,8.853636856926565
596,51,10,6.020127279473055,3.715748855015841
629,55,8,5.07326314369655,2.5116821031167103
662,50,5,7.659425060620941,1.25335778129824
696,42,2,0.4609411638359885,24.79399178294679
729,39,5,10.14274296938759,1.2134481120973761
762,39,7,4.186944842342323,2.699681803569038
795,41,6,16.53339388302691,0.49173698747716305
828,44,6,7.583856124017446,1.6881953050881549
861,41,6,8.954635740969685,2.181274692820515
894,49,11,10.99716381036423,1.8944278445410667
927,56,10,5.575657302270123,2.7329684039029916
960,49,5,3.227845518341312,4.4310426280205295
993,44,7,6.82848838027672,2.3325851075673687
1026,50,6,2.188855538794183,8.29200451026505
1059,53,7,2.600125311929685,7.837067850950215
1092,49,9,5.233281886459832,4.448893338883356
1125,53,5,2.73929894196108,7.857907329126487
1158,47,5,1.87649589838835,11.574689917885097
1191,42,5,4.754004365039783,5.408973938556855
1224,39,3,0.6047212804482109,38.479265608089634
1259,34,4,0.7032605185336883,40.28853118671993
1292,31,5,5.115129560067422,7.194553888940426
1325,30,3,1.874393680806257,24.91175942524474
1358,32,6,2.357338964265194,23.3755804752683
1391,32,9,9.789649876963246,6.128921948597005
1424,35,6,3.450052657660284,15.90037842910642
1457,37,12,6.705301801457604,5.646332034171862
1490,43,11,5.286196020378417,3.299510725269641
1523,50,5,3.914319743604725,2.4525334231278952
1556,51,3,3.6377639949477,2.807333932282877
1589,51,6,2.354024796157092,6.247122960194937
1622,49,6,6.439687192192606,3.235146787656301
1655,46,11,5.02917120550481,5.2015370368027245
1688,50,11,6.804199361304369,3.174510159540544
1721,51,7,3.098346734679609,4.746364307241381
1754,44,1,0.2777919497518578,42.611462364891835
1787,42,2,0.4680476894782125,22.425133126354922
1820,41,4,2.517413033008705,3.2295380989174753
1853,35,4,2.61012872666775,2.955519256758744
1886,27,5,7.19579015232986,1.098035712637196
1919,25,6,8.364125208965648,0.48221819168966223
1952,28,5,3.875113356470884,0.19200667196100626
